"row_names","CompanyID","Column_Rating","Company_Name","Location","HQ_Address","Size","Founded","type_of_ownership","Industry","Sector","Revenue","Competitors","company_txt","Company_Age"
"13",12,3.2,"Walmart
3.2","Plano, TX","Bentonville, AR","10000+ ",1962,"Company - Public","Department, Clothing, & Shoe Stores","Retail","$10+ billion (USD)","Target, Costco Wholesale, Amazon","Walmart",59
"14",13,4.1,"Yesler
4.1","Seattle, WA","Seattle, WA","201 - 500 ",2012,"Company - Private","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1","Yesler",9
"15",14,3.7,"Takeda Pharmaceuticals
3.7","Cambridge, MA","OSAKA, Japan","10000+ ",1781,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","Novartis, Baxter, Pfizer","Takeda Pharmaceuticals",240
"16",15,3.6,"Audible
3.6","Newark, NJ","Newark, NJ","1001 - 5000 ",1995,"Subsidiary or Business Segment","Motion Picture Production & Distribution","Media","Unknown / Non-Applicable","-1","Audible",26
"17",16,3.9,"Blueprint Medicines
3.9","Cambridge, MA","Cambridge, MA","51 - 200 ",2011,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","bluebird bio, Agios Pharmaceuticals, Celgene","Blueprint Medicines",10
"18",17,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA","201 - 500 ",2011,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","h2o.ai",10
"19",18,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA","51 - 200 ",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Nuna",11
"20",19,4,"Pinnacol Assurance
4.0","Denver, CO","Denver, CO","501 - 1000 ",1915,"Nonprofit Organization","Insurance Carriers","Insurance","$500 million to $1 billion (USD)","-1","Pinnacol Assurance",106
"21",20,3.2,"Porch
3.2","Seattle, WA","Seattle, WA","201 - 500 ",2012,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Angie's List, HomeAdvisor, Thumbtack","Porch",9
"22",21,3.9,"Health IQ
3.9","Dallas, TX","Mountain View, CA","201 - 500 ",2013,"Company - Private","Insurance Agencies & Brokerages","Insurance","Unknown / Non-Applicable","-1","Health IQ",8
"23",22,3.8,"Truckstop.com
3.8","Chicago, IL","New Plymouth, ID","501 - 1000 ",1995,"Company - Private","Logistics & Supply Chain","Transportation & Logistics","Unknown / Non-Applicable","-1","Truckstop.com",26
"24",23,4.3,"SMC 3
4.3","Louisville, KY","Peachtree City, GA","51 - 200 ",1935,"Nonprofit Organization","Logistics & Supply Chain","Transportation & Logistics","$10 to $25 million (USD)","-1","SMC 3",86
"25",25,4,"Novetta
4.0","Herndon, VA","Mc Lean, VA","501 - 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Leidos, CACI International, Booz Allen Hamilton","Novetta",9
"26",26,4,"Pfizer
4.0","Cambridge, MA","New York, NY","10000+ ",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Pfizer",172
"27",27,3.5,"First Tech Federal Credit Union
3.5","Hillsboro, OR","San Jose, CA","1001 - 5000 ",1952,"Company - Private","Banks & Credit Unions","Finance","$100 to $500 million (USD)","-1","First Tech Federal Credit Union",69
"28",28,3.7,"The Hanover Insurance Group
3.7","Worcester, MA","Worcester, MA","5001 - 10000 ",1852,"Company - Public","Insurance Carriers","Insurance","$5 to $10 billion (USD)","-1","The Hanover Insurance Group",169
"29",29,4,"Pfizer
4.0","Groton, CT","New York, NY","10000+ ",1849,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Pfizer",172
"30",32,3.6,"Amrock
3.6","Detroit, MI","Detroit, MI","1001 - 5000 ",1997,"Company - Private","Real Estate","Real Estate","$500 million to $1 billion (USD)","-1","Amrock",24
"31",33,3.8,"Novartis
3.8","Cambridge, MA","Basel, Switzerland","10000+ ",1996,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)","-1","Novartis",25
"32",34,3.8,"Juniper Networks
3.8","Sunnyvale, CA","Sunnyvale, CA","5001 - 10000 ",1996,"Company - Public","Telecommunications Services","Telecommunications","$2 to $5 billion (USD)","-1","Juniper Networks",25
"33",35,4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA","201 - 500 ",1974,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable","Thermo Fisher Scientific, Enzymatics, Illumina","New England Biolabs",47
"34",36,4.2,"Clarity Insights
4.2","San Jose, CA","Chicago, IL","201 - 500 ",2008,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1","Clarity Insights",13
"35",37,3.5,"Esri
3.5","Redlands, CA","Redlands, CA","1001 - 5000 ",1969,"Company - Private","Computer Hardware & Software","Information Technology","$1 to $2 billion (USD)","Pitney Bowes","Esri",52
"36",38,4.7,"Systems & Technology Research
4.7","Woburn, MA","Woburn, MA","201 - 500 ",2010,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","-1","Systems & Technology Research",11
"37",39,3.5,"Sartorius
3.5","Fremont, CA","Gottingen, Germany","5001 - 10000 ",1870,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","-1","Sartorius",151
"38",40,3.5,"Lancer Insurance
3.5","Long Beach, NY","Long Beach, NY","201 - 500 ",1985,"Company - Private","Insurance Carriers","Insurance","$100 to $500 million (USD)","-1","Lancer Insurance",36
"39",41,4.2,"Sauce Labs
4.2","San Francisco, CA","San Francisco, CA","201 - 500 ",2008,"Company - Private","IT Services","Information Technology","$50 to $100 million (USD)","BrowserStack, Selenium Master, Perfecto Mobile","Sauce Labs",13
"40",43,3.6,"Persivia
3.6","Marlborough, MA","Lowell, MA","1 - 50 ",-1,"Company - Private","-1","-1","Less than $1 million (USD)","-1","Persivia",-1
"41",44,4.2,"Nuna
4.2","San Francisco, CA","San Francisco, CA","51 - 200 ",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Nuna",11
"42",45,3.4,"Edgewell Personal Care
3.4","Allendale, NJ","Shelton, CT","5001 - 10000 ",2015,"Company - Public","Consumer Products Manufacturing","Manufacturing","$2 to $5 billion (USD)","Unilever, Procter & Gamble, Henkel","Edgewell Personal Care",6
"43",46,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL","1001 - 5000 ",1993,"Company - Public","Real Estate","Real Estate","$2 to $5 billion (USD)","UDR, AvalonBay Communities, Essex Property Trust","Equity Residential",28
"44",48,5,"BPA Services
5.0","Washington, DC","Alexandria, VA","unknown",-1,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","BPA Services",-1
"45",49,3.7,"Visa Inc.
3.7","Bellevue, WA","Foster City, CA","10000+ ",1958,"Company - Public","IT Services","Information Technology","$10+ billion (USD)","American Express, Mastercard, Discover","Visa Inc.",63
"46",50,3.1,"Intrado
3.1","Longmont, CO","Omaha, NE","5001 - 10000 ",1986,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$2 to $5 billion (USD)","-1","Intrado",35
"47",51,4.7,"Centauri
4.7","Beavercreek, OH","Chantilly, VA","501 - 1000 ",1999,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","TASC, Vencore, Booz Allen Hamilton","Centauri",22
"48",52,3.7,"Caterpillar
3.7","Peoria, IL","Deerfield, IL","10000+ ",1925,"Company - Public","Industrial Manufacturing","Manufacturing","$10+ billion (USD)","John Deere, Komatsu, CNH Industrial","Caterpillar",96
"49",54,3.8,"Zimmerman Advertising
3.8","Fort Lauderdale, FL","Fort Lauderdale, FL","501 - 1000 ",1984,"Subsidiary or Business Segment","Advertising & Marketing","Business Services","Unknown / Non-Applicable","-1","Zimmerman Advertising",37
"50",55,3.3,"Liberty Mutual Insurance
3.3","Boston, MA","Boston, MA","10000+ ",1912,"Company - Private","Insurance Carriers","Insurance","$10+ billion (USD)","Travelers, Allstate, State Farm","Liberty Mutual Insurance",109
"51",56,4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL","1001 - 5000 ",2002,"Company - Private","Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)","-1","Torch Technologies, Inc.",19
"52",57,3.7,"Swiss Re
3.7","Armonk, NY","Zurich, Switzerland","10000+ ",1863,"Company - Public","Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)","Munich Re, Hannover RE, SCOR","Swiss Re",158
"53",58,3.7,"Northrop Grumman
3.7","San Diego, CA","Falls Church, VA","10000+ ",1939,"Company - Public","Aerospace & Defense","Aerospace & Defense","$10+ billion (USD)","-1","Northrop Grumman",82
"54",59,3.5,"Sartorius
3.5","Albuquerque, NM","Gottingen, Germany","5001 - 10000 ",1870,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $2 billion (USD)","-1","Sartorius",151
"55",60,4.1,"Netskope
4.1","San Francisco, CA","Santa Clara, CA","501 - 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","Skyhigh Networks, Zscaler, NortonLifeLock","Netskope",9
"56",61,4.7,"1904labs
4.7","Saint Louis, MO","Saint Louis, MO","51 - 200 ",2016,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","Slalom, Daugherty Business Solutions","1904labs",5
"57",65,4.4,"The David J. Joseph Company
4.4","Cincinnati, OH","Cincinnati, OH","201 - 500 ",1885,"Subsidiary or Business Segment","Metals Brokers","Mining & Metals","Unknown / Non-Applicable","-1","The David J. Joseph Company",136
"58",66,4.3,"USEReady
4.3","New York, NY","New York, NY","201 - 500 ",2011,"Company - Private","Consulting","Business Services","$10 to $25 million (USD)","-1","USEReady",10
"59",67,3.8,"Bill.com
3.8","Palo Alto, CA","Palo Alto, CA","501 - 1000 ",2006,"Company - Public","Financial Transaction Processing","Finance","$50 to $100 million (USD)","-1","Bill.com",15
"60",68,3.8,"Pacific Northwest National Laboratory
3.8","Richland, WA","Richland, WA","1001 - 5000 ",1965,"Government","Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)","Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory","Pacific Northwest National Laboratory",56
"61",70,3.8,"DICK'S Sporting Goods - Corporate
3.8","Coraopolis, PA","Coraopolis, PA","10000+ ",1948,"Company - Public","Sporting Goods Stores","Retail","$5 to $10 billion (USD)","REI, Academy Sports + Outdoors, Cabela's","DICK'S Sporting Goods - Corporate",73
"62",72,2.8,"Berg Health
2.8","Framingham, MA","Framingham, MA","51 - 200 ",2006,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)","-1","Berg Health",15
"63",73,4.7,"Oversight Systems
4.7","Atlanta, GA","Atlanta, GA","51 - 200 ",2003,"Company - Private","Computer Hardware & Software","Information Technology","$25 to $50 million (USD)","-1","Oversight Systems",18
"64",75,3.1,"C Space
3.1","Boston, MA","Boston, MA","201 - 500 ",1999,"Company - Public","Advertising & Marketing","Business Services","$100 to $500 million (USD)","IDEO, Gongos, Inc., Ipsos","C Space",22
"65",76,3.2,"Numeric, LLC
3.2","Philadelphia, PA","Chadds Ford, PA","1 - 50 ",-1,"Company - Private","Staffing & Outsourcing","Business Services","$5 to $10 million (USD)","-1","Numeric, LLC",-1
"66",77,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA","10000+ ",1939,"Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","HP Inc.",82
"67",78,4.4,"SpringML
4.4","Indianapolis, IN","Pleasanton, CA","1 - 50 ",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","SpringML",6
"68",79,3.6,"Grainger
3.6","Lake Forest, IL","Lake Forest, IL","10000+ ",1927,"Company - Public","Wholesale","Business Services","$10+ billion (USD)","-1","Grainger",94
"69",80,2.7,"EAG Laboratories
2.7","Maryland Heights, MO","San Diego, CA","501 - 1000 ",1978,"Subsidiary or Business Segment","Research & Development","Business Services","$50 to $100 million (USD)","-1","EAG Laboratories",43
"70",81,3.9,"The Buffalo Group
3.9","Charlottesville, VA","Reston, VA","501 - 1000 ",2010,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","ManTech, Booz Allen Hamilton, Leidos","The Buffalo Group",11
"71",82,3.1,"Carmeuse
3.1","Pittsburgh, PA","Louvain-la-Neuve, Belgium","1001 - 5000 ",1860,"Company - Private","Mining","Mining & Metals","$1 to $2 billion (USD)","Lhoist, Graymont, Sibelco Group","Carmeuse",161
"72",83,4,"HP Inc.
4.0","Vancouver, WA","Palo Alto, CA","10000+ ",1939,"Company - Public","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","-1","HP Inc.",82
"73",84,4.3,"h2o.ai
4.3","Mountain View, CA","Mountain View, CA","201 - 500 ",2011,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","h2o.ai",10
"74",85,1.9,"GNS Healthcare
1.9","Cambridge, MA","Cambridge, MA","51 - 200 ",2000,"Company - Private","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10 to $25 million (USD)","-1","GNS Healthcare",21
"75",86,3.3,"Peraton
3.3","Chantilly, VA","Herndon, VA","1001 - 5000 ",2017,"Company - Private","Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)","-1","Peraton",4
"76",87,4.4,"Pactera
4.4","San Jose, CA","Beijing, China","10000+ ",1995,"Company - Private","IT Services","Information Technology","$500 million to $1 billion (USD)","Infosys, EPAM, Accenture","Pactera",26
"77",88,3.9,"Nurx
3.9","San Francisco, CA","San Francisco, CA","51 - 200 ",2016,"Company - Private","Health Care Services & Hospitals","Health Care","$1 to $5 million (USD)","-1","Nurx",5
"78",89,4.7,"webfx.com
4.7","Harrisburg, PA","Harrisburg, PA","201 - 500 ",1997,"Company - Private","Advertising & Marketing","Business Services","$25 to $50 million (USD)","-1","webfx.com",24
"79",90,4.5,"Johns Hopkins University Applied Physics Laboratory
4.5","Laurel, MD","Laurel, MD","5001 - 10000 ",1942,"Nonprofit Organization","Aerospace & Defense","Aerospace & Defense","$1 to $2 billion (USD)","MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman","Johns Hopkins University Applied Physics Laboratory",79
"80",91,4.3,"Productive Edge
4.3","Chicago, IL","Chicago, IL","51 - 200 ",2008,"Company - Private","Computer Hardware & Software","Information Technology","$10 to $25 million (USD)","Numerator, Rise Interactive, Salom","Productive Edge",13
"81",92,4,"Excella Consulting
4.0","Arlington, VA","Arlington, VA","201 - 500 ",2002,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1","Excella Consulting",19
"82",93,4.4,"Gensco
4.4","Tacoma, WA","Tacoma, WA","501 - 1000 ",1948,"Company - Private","Wholesale","Business Services","$100 to $500 million (USD)","-1","Gensco",73
"83",96,4.2,"goTRG
4.2","Miami, FL","Miami, FL","501 - 1000 ",2008,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","-1","goTRG",13
"84",97,4.5,"NMR Consulting
4.5","Huntsville, AL","Chantilly, VA","51 - 200 ",1996,"Company - Private","IT Services","Information Technology","$25 to $50 million (USD)","-1","NMR Consulting",25
"85",99,3.5,"iSeatz
3.5","New Orleans, LA","New Orleans, LA","51 - 200 ",1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","iSeatz",22
"86",101,3.5,"Nektar Therapeutics
3.5","San Francisco, CA","San Francisco, CA","201 - 500 ",1990,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)","Bristol-Myers Squibb, Merck, GlaxoSmithKline","Nektar Therapeutics",31
"87",102,3.9,"TransUnion
3.9","Atlanta, GA","Chicago, IL","5001 - 10000 ",1968,"Company - Public","Financial Analytics & Research","Finance","$1 to $2 billion (USD)","-1","TransUnion",53
"88",104,4.7,"IT Concepts
4.7","Landover, MD","Vienna, VA","51 - 200 ",2003,"Company - Private","IT Services","Information Technology","$10 to $25 million (USD)","-1","IT Concepts",18
"89",105,4.2,"Scientific Research Corporation
4.2","Patuxent River, MD","Atlanta, GA","1001 - 5000 ",1988,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","-1","Scientific Research Corporation",33
"90",106,3.4,"General Dynamics Information Technology
3.4","Suitland, MD","Fairfax, VA","10000+ ",1996,"Subsidiary or Business Segment","IT Services","Information Technology","$10+ billion (USD)","SAIC, Leidos, Northrop Grumman","General Dynamics Information Technology",25
"91",107,3.2,"MITRE
3.2","McLean, VA","Bedford, MA","5001 - 10000 ",1958,"Nonprofit Organization","Federal Agencies","Government","$1 to $2 billion (USD)","Battelle, General Atomics, SAIC","MITRE",63
"92",108,3.9,"The Buffalo Group
3.9","Fort Belvoir, VA","Reston, VA","501 - 1000 ",2010,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","ManTech, Booz Allen Hamilton, Leidos","The Buffalo Group",11
"93",109,3.1,"DentaQuest
3.1","Milwaukee, WI","Boston, MA","1001 - 5000 ",2001,"Company - Private","Insurance Carriers","Insurance","$2 to $5 billion (USD)","MCNA Dental Plans, United Concordia, Delta Dental Plans Association","DentaQuest",20
"94",110,4.1,"Redjack
4.1","Silver Spring, MD","Silver Spring, MD","1 - 50 ",2007,"Company - Private","IT Services","Information Technology","Unknown / Non-Applicable","-1","Redjack",14
"95",112,3.8,"7Park Data
3.8","New York, NY","New York, NY","51 - 200 ",2012,"Company - Private","Research & Development","Business Services","Unknown / Non-Applicable","-1","7Park Data",9
"96",113,4.7,"Rapid Response Monitoring
4.7","Syracuse, NY","Syracuse, NY","501 - 1000 ",1992,"Company - Private","Security Services","Business Services","Unknown / Non-Applicable","COPS Monitoring, National Monitoring Center, Affiliated Monitoring","Rapid Response Monitoring",29
"97",116,4.3,"Trilogy Ed
4.3","Houston, TX","New York, NY","1001 - 5000 ",2015,"Subsidiary or Business Segment","Education Training Services","Education","Unknown / Non-Applicable","General Assembly, Kaplan University, Ironhack","Trilogy Ed",6
"98",117,4.2,"Gallup
4.2","Washington, DC","Washington, DC","1001 - 5000 ",1935,"Company - Private","Consulting","Business Services","Unknown / Non-Applicable","Advisory Board, Booz Allen Hamilton, McKinsey & Company","Gallup",86
"99",118,3.9,"CapTech
3.9","Charlotte, NC","Richmond, VA","1001 - 5000 ",1997,"Company - Private","IT Services","Information Technology","$100 to $500 million (USD)","Accenture, North Highland, Deloitte","CapTech",24
"100",119,3.3,"American Axle & Manufacturing
3.3","Southfield, MI","Detroit, MI","10000+ ",1994,"Company - Public","Transportation Equipment Manufacturing","Manufacturing","$5 to $10 billion (USD)","-1","American Axle & Manufacturing",27
"101",120,4.7,"CentralReach
4.7","Matawan, NJ","Pompano Beach, FL","201 - 500 ",2012,"Company - Private","Computer Hardware & Software","Information Technology","Unknown / Non-Applicable","DataFinch Technologies, Accupoint Software Solution, CodeMetro","CentralReach",9
"102",122,4.3,"Integrate
4.3","Phoenix, AZ","Phoenix, AZ","201 - 500 ",2010,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$25 to $50 million (USD)","-1","Integrate",11
"103",123,2.9,"Boys Town Hospital
2.9","Omaha, NE","Omaha, NE","1001 - 5000 ",1977,"Hospital","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Nebraska Medicine, Children's Hospital & Medical Center, Methodist Health System - NE and IA","Boys Town Hospital",44
"104",124,4.5,"Demandbase
4.5","San Francisco, CA","San Francisco, CA","201 - 500 ",2006,"Company - Private","Computer Hardware & Software","Information Technology","$100 to $500 million (USD)","Engagio, Bombora, Terminus","Demandbase",15
"105",125,3.4,"Sapphire Digital
3.4","Lyndhurst, NJ","Lyndhurst, NJ","201 - 500 ",2019,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","Zocdoc, Healthgrades","Sapphire Digital",2
"106",128,3.2,"Formation
3.2","San Francisco, CA","San Francisco, CA","51 - 200 ",2015,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Formation",6
"107",129,4,"Autodesk
4.0","San Francisco, CA","San Rafael, CA","5001 - 10000 ",1982,"Company - Public","Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)","-1","Autodesk",39
"108",130,4.6,"Beck's Hybrids
4.6","Atlanta, IN","Atlanta, IN","501 - 1000 ",1937,"Company - Private","Farm Support Services","Agriculture & Forestry","$50 to $100 million (USD)","-1","Beck's Hybrids",84
"109",131,2.8,"DrFirst
2.8","Rockville, MD","Rockville, MD","201 - 500 ",2000,"Company - Private","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","-1","DrFirst",21
"110",132,4.7,"Object Partners
4.7","Minneapolis, MN","Minneapolis, MN","51 - 200 ",1996,"Company - Private","Consulting","Business Services","$25 to $50 million (USD)","Solution Design Group, Intertech (Minnesota)","Object Partners",25
"111",136,3,"L.A. Care Health Plan
3.0","Los Angeles, CA","Los Angeles, CA","1001 - 5000 ",1997,"Nonprofit Organization","Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable","Health Net, Kaiser Permanente, Molina Healthcare","L.A. Care Health Plan",24
"112",137,3.2,"Red Ventures
3.2","Charlotte, NC","Fort Mill, SC","1001 - 5000 ",2000,"Company - Private","Advertising & Marketing","Business Services","$1 to $2 billion (USD)","Clearlink, Credit Karma, LendingTree","Red Ventures",21
"113",138,4.4,"Quick Base
4.4","Cambridge, MA","Cambridge, MA","201 - 500 ",1999,"Company - Private","Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable","-1","Quick Base",22
"114",139,3.5,"The E.W. Scripps Company
3.5","Cincinnati, OH","Cincinnati, OH","1001 - 5000 ",1878,"Company - Public","TV Broadcast & Cable Networks","Media","$500 million to $1 billion (USD)","-1","The E.W. Scripps Company",143
"115",140,4,"Upside Business Travel
4.0","Washington, DC","Washington, DC","51 - 200 ",2015,"Company - Private","Internet","Information Technology","Unknown / Non-Applicable","-1","Upside Business Travel",6
"116",141,4.3,"Equity Residential
4.3","Chicago, IL","Chicago, IL","1001 - 5000 ",1993,"Company - Public","Real Estate","Real Estate","$2 to $5 billion (USD)","UDR, AvalonBay Communities, Essex Property Trust","Equity Residential",28
"117",142,2.3,"Synagro
2.3","Baltimore, MD","Baltimore, MD","501 - 1000 ",1986,"Company - Private","Research & Development","Business Services","$100 to $500 million (USD)","-1","Synagro",35
"118",143,4,"Alliance Source Testing
4.0","Alabaster, AL","Decatur, AL","51 - 200 ",2000,"Other Organization","Architectural & Engineering Services","Business Services","$25 to $50 million (USD)","-1","Alliance Source Testing",21
"119",145,3.6,"Accuride International
3.6","Santa Fe Springs, Los Angeles, CA","Santa Fe Springs, CA","1001 - 5000 ",1966,"Company - Private","Industrial Manufacturing","Manufacturing","$100 to $500 million (USD)","-1","Accuride International",55
"120",146,3.8,"Full Potential Solutions
3.8","Kansas City, MO","Kansas City, MO","501 - 1000 ",2017,"Company - Private","Staffing & Outsourcing","Business Services","Unknown / Non-Applicable","-1","Full Potential Solutions",4
"121",147,3.7,"Visa Inc.
3.7","Ashburn, VA","Foster City, CA","10000+ ",1958,"Company - Public","IT Services","Information Technology","$10+ billion (USD)","American Express, Mastercard, Discover","Visa Inc.",63
"122",148,4.4,"Maven Wave Partners
4.4","Chicago, IL","Chicago, IL","201 - 500 ",2008,"Company - Private","Consulting","Business Services","$50 to $100 million (USD)","-1","Maven Wave Partners",13
"123",150,4,"Novetta
4.0","Herndon, VA","Mc Lean, VA","501 - 1000 ",2012,"Company - Private","Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)","Leidos, CACI International, Booz Allen Hamilton","Novetta",9
"124",152,3.2,"First Command Financial Services, Inc.
3.2","Fort Worth, TX","Fort Worth, TX","1001 - 5000 ",1958,"Company - Private","Brokerage Services","Finance","$100 to $500 million (USD)","USAA, Navy Federal Credit Union, Raymond James Financial","First Command Financial Services, Inc.",63
"125",153,2.9,"Pharmavite
2.9","Valencia, CA","West Hills, CA","1001 - 5000 ",1971,"Company - Private","Consumer Products Manufacturing","Manufacturing","$1 to $2 billion (USD)","The Nature's Bounty Co., Schiff Nutrition International","Pharmavite",50
"126",154,3.8,"BioMarin Pharmaceutical
3.8","Novato, CA","San Rafael, CA","1001 - 5000 ",1997,"Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$500 million to $1 billion (USD)","Genentech, Ultragenyx Pharmaceutical, Gilead Sciences","BioMarin Pharmaceutical",24
"127",156,4.3,"Stratagem Group
4.3","Aurora, CO","Aurora, CO","1 - 50 ",2007,"Company - Private","Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable","-1","Stratagem Group",14
